username,date,content,video_title
@city.ofangels,5 years ago,6 October 2020  from kuwait ☺️🌷,Madonna - You'll See (Official Video)
@rokmin8550,6 years ago," @colirenee1624  you're right!  Man remember when the ""Thriller"" video came out?  Something like a 13 minute video, unheard of at the time!",Madonna - Papa Don't Preach (Official Video) [HD]
@angechrisman1694,3 years ago," @00FiveStarzz  Janet was not the headliner. Diddy,Nelly, Kid Rock all performed before her that night",Madonna - 2012 Super Bowl Halftime Show
@leduynang6142,5 years ago,Kylie Minogue is a very nice icon and never shades anyone.,Madonna feat. M.I.A. and Nicki Minaj - Give Me All Your Luvin' (Official Video) [HD]
@theo5675,2 years ago (edited), @gulsairakerimova3302 same here all I want to do is be young again,Madonna - 4 Minutes feat. Justin Timberlake & Timbaland (Official Video) [4K]
@dianeerickson7212,8 months ago (edited),"Oh boy, you really missed something in the 80’s. 💫",Madonna - Ray Of Light (Official Video) [HD]
@oleg10Moscow,1 year ago,Yes Bro ✌️😎,Madonna - Jump (Official Video) [HD]
@imkorona6592,9 years ago,"+pup lover My mom had the Inmaculate Collection CD, she was a huge fan of Madonna back in the 90's, so i found that CD and i would listen to it everyday. Now i consider myself a fan of Madonna thanks to my mom ♥",Madonna - Borderline (Official Video) [HD]
@kastenmuller4003,4 years ago,Berlin,Madonna - What It Feels Like For A Girl (Official Video) [HD]
@hshwusjxnsmKzkxmcnnd,9 months ago,Sing perfect❤,Madonna - Back That Up To The Beat (Official Lyric Video)
@deltaskrapp3978,9 years ago,+Santiago Macedo HAHAHAHA no,Madonna - Vogue (MDNA World Tour)
@andrewturvill7145,5 years ago,"Agreed. Apart from confessions on a dancefloor, everything else has been awful except the odd song.",Madonna - Beautiful Stranger (Official Video) [HD]
@Kobani06,1 year ago,@zdenekburian-bc9hm  Beautiful Country,Madonna - La Isla Bonita (Official Video)
@PatriciaBarrozo-c1e,2 months ago,I am,Madonna - Don't Cry For Me Argentina (Official Video)
@TheRealGuidayne,1 year ago,Ain't no GODDAMN WAY this is 15 YEARS OLD AND IS STILL A BANGER,Madonna - 4 Minutes feat. Justin Timberlake & Timbaland (Official Video) [4K]
